method,method_key,family,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost,run_complete,observed_endpoint_trial
Saturation k=250,saturation_k250,adaptive policy,0,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,162.6767120361328,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,11,4,0e6308e1062a17fcaf7b6f444d7a053b033cca6e983306ce6bdd674e9586d7f3,245.76989149029058,203.55339813232422,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,35,11,bace39dc2f180f7cf4828e3a220fcad16b8db4dcf030cfd06c26a66b815aa5bd,187.71434122920036,164.92980540882456,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,55,14,7fdad5ee03395a701b71c3f6667d2cf32a7ca33908baaafe0786ec18afc9beee,149.69825669402877,82.99959307057517,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,77,17,b2cd6a92f7193fe06e3c8e3868772964dd584c1cf89da67425482e2a1296c44f,125.71942536433538,91.6394958320786,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,102,20,7fbf38e2f5a5308c1a00c20c191efa6e4b8fd5794b4879ab3d521478d604c248,116.02644272545973,69.93975947499275,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,130,23,7d6ded795a3736fe4e0c034f7b04727f2deee35d0351003cbe758a476d50975a,63.75054346676916,24.51946610601052,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,196,36,e4405507c13278802f123557f1a8a36f39e904a95312d6ca8f5650f257bc070c,58.91477428637445,25.86201147817903,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,864,200,f4f9115200bf6980bfe65fc37807b74f8544316d384831008f4d69a87e9f81d3,56.089707903005184,51.876408816501495,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,1269,287,1969188f51c660e5cd6e58e2949ede31d701a9e9b940478f9af88d1a63bbd4ee,55.65604017656297,55.65604017656297,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,1628,377,ee00fc223ec26183caa5abed2c713653ad5003a5236e4c7f7bde8753729f0a97,53.97380713649715,53.97380713649715,False,4115
Saturation k=250,saturation_k250,adaptive policy,0,4115,377,ee00fc223ec26183caa5abed2c713653ad5003a5236e4c7f7bde8753729f0a97,53.97380713649715,53.97380713649715,False,4115
Saturation k=50,saturation_k50,adaptive policy,0,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,162.6767120361328,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,11,4,0e6308e1062a17fcaf7b6f444d7a053b033cca6e983306ce6bdd674e9586d7f3,245.76989149029058,203.55339813232422,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,35,11,bace39dc2f180f7cf4828e3a220fcad16b8db4dcf030cfd06c26a66b815aa5bd,187.71434122920036,164.92980540882456,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,55,14,7fdad5ee03395a701b71c3f6667d2cf32a7ca33908baaafe0786ec18afc9beee,149.69825669402877,82.99959307057517,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,77,17,b2cd6a92f7193fe06e3c8e3868772964dd584c1cf89da67425482e2a1296c44f,125.71942536433538,91.6394958320786,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,102,20,7fbf38e2f5a5308c1a00c20c191efa6e4b8fd5794b4879ab3d521478d604c248,116.02644272545973,69.93975947499275,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,130,23,7d6ded795a3736fe4e0c034f7b04727f2deee35d0351003cbe758a476d50975a,63.75054346676916,24.51946610601052,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,196,36,e4405507c13278802f123557f1a8a36f39e904a95312d6ca8f5650f257bc070c,58.91477428637445,25.86201147817903,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,864,200,f4f9115200bf6980bfe65fc37807b74f8544316d384831008f4d69a87e9f81d3,56.089707903005184,51.876408816501495,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,1269,287,1969188f51c660e5cd6e58e2949ede31d701a9e9b940478f9af88d1a63bbd4ee,55.65604017656297,55.65604017656297,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,1628,377,ee00fc223ec26183caa5abed2c713653ad5003a5236e4c7f7bde8753729f0a97,53.97380713649715,53.97380713649715,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,2741,810,0910d7d9d1e0f2b5b9ee389d88f49be3ebefb0505546c569bb8a61fc4197bd0a,52.30686459535112,52.30686459535112,False,4134
Saturation k=50,saturation_k50,adaptive policy,0,4134,810,0910d7d9d1e0f2b5b9ee389d88f49be3ebefb0505546c569bb8a61fc4197bd0a,52.30686459535112,52.30686459535112,False,4134
Error/variance trend,error_variance_trend_25,adaptive policy,1,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,755.4293212890625,False,3349
Error/variance trend,error_variance_trend_25,adaptive policy,1,4,2,e9e38d84a9c9379c67ea9bbeac9c6413dd273d8b50de31e9553b9619e5f459e7,510.99606762230394,364.448902964592,False,3349
Error/variance trend,error_variance_trend_25,adaptive policy,1,8,3,43d64ae149c96f6c1296006fbfec9c8e277026e202af764b47ed201aa275ba09,132.57944203354418,140.99590480327606,False,3349
Error/variance trend,error_variance_trend_25,adaptive policy,1,16,5,f4f7b9074b83ef25705d7d7e5df93cfe44053933f7b417e3354305a50876102e,93.82974347360432,123.6260725736618,False,3349
Error/variance trend,error_variance_trend_25,adaptive policy,1,86,22,445bec7ba19b46518b9cb22986bcf2a66dec63dd80da64fe210759e94f4612ab,61.793018876512846,65.75054172426462,False,3349
Error/variance trend,error_variance_trend_25,adaptive policy,1,134,30,3a1609294c4d8b10d066f0dc83fbf36ceee84cade01ceb47cc4006dcfbd5cd27,53.150136613318075,47.36014000326395,False,3349
Error/variance trend,error_variance_trend_25,adaptive policy,1,2429,801,ec26bf03f9abd8cbfa5852f08143aa3aa25b3a19d5364ac4ccea0f31fd5612ab,51.03497198037803,51.03497198037803,False,3349
Error/variance trend,error_variance_trend_25,adaptive policy,1,3349,801,ec26bf03f9abd8cbfa5852f08143aa3aa25b3a19d5364ac4ccea0f31fd5612ab,51.03497198037803,51.03497198037803,False,3349
Fixed depth 10,fixed_depth_10,fixed depth,1,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,719.62255859375,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,1,7,3,43d64ae149c96f6c1296006fbfec9c8e277026e202af764b47ed201aa275ba09,132.57944203354418,36.35891167322794,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,1,15,5,f4f7b9074b83ef25705d7d7e5df93cfe44053933f7b417e3354305a50876102e,93.82974347360432,23.62636501789093,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,1,67,14,4f144e90a05f3ee602f3cb3f278bd97477a1eb9f0053213082aaf7c0df140a3f,74.05167233323057,55.13077990072114,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,1,102,21,3aad62b918c608437688534e26d9b318ecbeb244cae04b0edd0b5c3add6c28b1,57.86745154789339,67.16976334793227,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,1,217,41,9e9a9c91ea4bdd60ba8bd55974d798d077ba6397d3e8b0d1bed75dc0bce934e0,59.56862103988727,50.08462213197859,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,1,1405,284,d00493e5cdb6024bfd781bc62bd04feb3ed1ce87764c465d95839082c90411ce,60.80029613183191,43.586877232994624,True,5000
Fixed depth 10,fixed_depth_10,fixed depth,1,5000,284,d00493e5cdb6024bfd781bc62bd04feb3ed1ce87764c465d95839082c90411ce,60.80029613183191,43.586877232994624,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,719.62255859375,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,7,3,43d64ae149c96f6c1296006fbfec9c8e277026e202af764b47ed201aa275ba09,132.57944203354418,36.35891167322794,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,15,5,f4f7b9074b83ef25705d7d7e5df93cfe44053933f7b417e3354305a50876102e,93.82974347360432,23.62636501789093,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,67,14,4f144e90a05f3ee602f3cb3f278bd97477a1eb9f0053213082aaf7c0df140a3f,74.05167233323057,55.13077990072114,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,102,21,3aad62b918c608437688534e26d9b318ecbeb244cae04b0edd0b5c3add6c28b1,57.86745154789339,67.16976334793227,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,217,41,9e9a9c91ea4bdd60ba8bd55974d798d077ba6397d3e8b0d1bed75dc0bce934e0,59.56862103988727,50.08462213197859,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,387,72,4d25b9cc3a364d42e3b5642529796bec8df590dbaf14aae7bd9555fb75b24f31,60.95103903400401,33.896883825874994,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,2538,466,bb4742e59cc39f16171adf0708960ecd798dce70b18f83d5c09597ae9a75ef58,55.0875791566136,52.57871706571126,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,3995,739,564dfb9c23536ee6ced01ed0d3ce2c9902b29e92c14df8a7513ea3d6b71bd8f8,51.62743780656408,57.36673707707567,True,5000
Fixed depth 15,fixed_depth_15,fixed depth,1,5000,739,564dfb9c23536ee6ced01ed0d3ce2c9902b29e92c14df8a7513ea3d6b71bd8f8,51.62743780656408,57.36673707707567,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,719.62255859375,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,7,3,43d64ae149c96f6c1296006fbfec9c8e277026e202af764b47ed201aa275ba09,132.57944203354418,36.35891167322794,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,15,5,f4f7b9074b83ef25705d7d7e5df93cfe44053933f7b417e3354305a50876102e,93.82974347360432,23.62636501789093,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,67,14,4f144e90a05f3ee602f3cb3f278bd97477a1eb9f0053213082aaf7c0df140a3f,74.05167233323057,55.13077990072114,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,102,21,3aad62b918c608437688534e26d9b318ecbeb244cae04b0edd0b5c3add6c28b1,57.86745154789339,67.16976334793227,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,217,41,9e9a9c91ea4bdd60ba8bd55974d798d077ba6397d3e8b0d1bed75dc0bce934e0,59.56862103988727,50.08462213197859,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,387,72,4d25b9cc3a364d42e3b5642529796bec8df590dbaf14aae7bd9555fb75b24f31,60.95103903400401,33.896883825874994,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,1999,423,bb19109c316754a78f5de3d281113fa6c6e609af07b475cd6373798396473f8c,54.48468195426588,56.05777024717266,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,1,5000,423,bb19109c316754a78f5de3d281113fa6c6e609af07b475cd6373798396473f8c,54.48468195426588,56.05777024717266,True,5000
